ROTA,Demanda,C1r,C2r,C3r
47,155,0.508,0.445,0.381
48,155,0.506,0.443,0.379
49,155,0.504,0.441,0.378
50,290,367395283206,0.555,0.486,0.416
51,278,992583180374,0.594,0.52,0.446
52,27,3588538151037,0.617,0.54,0.463
53,185,564485442862,0.647,0.566,0.485
54,96,1974142561981,0.669,0.585,0.502
55,210,147426673894,0.694,0.608,0.521
56,57,6559951390916,0.727,0.636,0.545
57,304,395677776343,0.726,0.636,1000
58,310,0.516,0.452,1000
59,310,0.55,0.481,1000
60,445,367395283206,0.588,0.515,1000
61,433,992583180374,0.607,0.531,1000
62,182,358853815104,0.617,0.54,0.463
63,340,564485442862,0.652,0.57,1000
64,251,197414256198,0.671,0.587,0.503
65,365,147426673894,0.694,0.608,1000
66,212,655995139092,0.727,0.636,0.545
67,459,395677776343,0.728,0.637,1000
68,310,0.539,0.472,1000
69,445,367395283206,0.579,0.507,1000
70,433,992583180374,0.601,0.526,1000
71,182,358853815104,0.618,0.54,0.463
72,340,564485442862,0.649,0.568,1000
73,251,197414256198,0.673,0.589,0.505
74,365,147426673894,0.695,0.608,1000
75,212,655995139092,0.727,0.636,0.545
76,459,395677776343,0.727,0.636,1000
77,445,367395283206,0.556,0.486,1000
78,433,992583180374,0.595,0.521,1000
79,182,358853815104,0.633,0.554,0.475
80,340,564485442862,0.65,0.569,1000
81,251,197414256198,0.692,0.606,0.519
82,365,147426673894,0.705,0.617,1000
83,212,655995139092,0.736,0.644,0.552
84,459,395677776343,0.731,0.639,1000
85,569,35997846358,0.601,0.526,1000
86,317,72624909831,0.648,0.567,1000
87,475,931880726068,0.656,0.574,1000
88,386,564809539404,0.707,0.619,1000
89,500,5148219571,0.714,0.625,1000
90,348,023390422298,0.744,0.651,1000
91,594,763073059549,0.735,0.643,1000
92,306,351436995477,0.644,0.563,1000
93,464,557068623236,0.649,0.568,1000
94,375,189997436572,0.701,0.614,1000
95,489,140009854267,0.707,0.619,1000
96,336,648578319465,0.737,0.645,1000
97,583,388260956717,0.729,0.638,1000
98,212,923339257965,0.662,0.579,0.496
99,123,556268071302,0.677,0.592,0.508
100,237,506280488997,0.694,0.608,0.521
101,85,0148489541953,0.727,0.636,0.545
102,331,754531591446,0.73,0.639,1000
103,281,76189969906,0.709,0.62,0.531
104,395,711912116755,0.707,0.618,1000
105,243,220480581953,0.735,0.643,0.551
106,489,960163219205,0.727,0.636,1000
107,306,344840930092,0.709,0.62,1000
108,153,85340939529,0.736,0.644,0.552
109,400,593092032541,0.75,0.656,1000
110,267,803421812985,0.727,0.636,0.545
111,514,543104450236,0.736,0.644,1000
112,362,051672915434,0.746,0.653,1000
113,465,0.55,0.481,1000
114,600,367395283206,0.589,1000,1000
115,588,992583180374,0.612,0.535,1000
116,337,358853815104,0.618,0.541,1000
117,495,564485442862,0.654,0.572,1000
118,406,197414256198,0.675,0.59,1000
119,520,147426673894,0.695,0.608,1000
120,367,655995139092,0.727,0.636,1000
