Rota;Demanda;Dist;Plat 0 ;Plat 1;Plat 2;Plat 3;Plat 4;Plat 5;Plat 6
0;118,3;290;1;;;;;;
1;272,9;290;2;;;;;;
2;234,7;290;3;;;;;;
3;69,1;360;4;;;;;;
4;293,6;410;5;;;;;;
5;360,9;431;6;;;;;;
6;391,2;290;1;2;;;;;
7;353;291;1;3;;;;;
8;187,4;429;1;4;;;;;
9;411,9;490;1;5;;;;;
10;479,2;510;1;6;;;;;
11;507,6;291;2;3;;;;;
12;342;429;2;4;;;;;
13;566,5;490;2;5;;;;;
14;633,8;510;2;6;;;;;
15;303,9;428;3;4;;;;;
16;528,3;489;3;5;;;;;
17;595,7;509;3;6;;;;;
18;362,7;420;4;5;;;;;
19;430,1;441;4;6;;;;;
20;654,5;431;5;6;;;;;
21;625,9;291;3;1;2;;;;
22;460,3;429;4;1;2;;;;
23;684,7;490;5;1;2;;;;
24;752,1;510;6;1;2;;;;
25;422,1;429;4;3;1;;;;
26;646,6;490;5;3;1;;;;
27;713,9;510;6;3;1;;;;
28;481;490;5;4;1;;;;
29;548,3;511;6;4;1;;;;
30;772,8;511;5;6;1;;;;
31;576,7;429;4;3;2;;;;
32;801,2;490;5;3;2;;;;
33;868,5;510;6;3;2;;;;
34;635,6;490;5;4;2;;;;
35;702,9;511;6;4;2;;;;
36;597,4;489;5;4;3;;;;
37;664,8;510;6;4;3;;;;
38;889,2;510;5;6;3;;;;
39;723,6;442;5;6;4;;;;
40;695;429;4;3;1;2;;;
41;753,9;490;5;4;1;2;;;
42;821,2;511;6;4;1;2;;;
43;715,7;490;5;4;3;1;;;
44;783,1;511;6;4;3;1;;;
45;841,9;511;5;6;4;1;;;
46;870,3;490;5;4;3;2;;;
47;155;194;7;;;;;;
48;155;193;8;;;;;;
49;155;192;9;;;;;;
50;290,4;212;10;;;;;;
51;279;227;11;;;;;;
52;27,4;236;12;;;;;;
53;185,6;247;13;;;;;;
54;96,2;255;14;;;;;;
55;210,1;265;15;;;;;;
56;57,7;277;16;;;;;;
57;304,4;277;17;;;;;;
58;310;197;7;8;;;;;
59;310;210;7;9;;;;;
60;445,4;225;7;10;;;;;
61;434;232;7;11;;;;;
62;182,4;236;7;12;;;;;
63;340,6;249;7;13;;;;;
64;251,2;256;7;14;;;;;
65;365,1;265;7;15;;;;;
66;212,7;277;7;16;;;;;
67;459,4;278;7;17;;;;;
68;310;206;8;9;;;;;
69;445,4;221;8;10;;;;;
70;434;230;8;11;;;;;
71;182,4;236;8;12;;;;;
72;340,6;248;8;13;;;;;
73;251,2;257;8;14;;;;;
