ROTA;Demanda;Dist;C1r;C2r;C3r
0;155.0;194;0.508142882;0.444625022;0.381107162
1;155.0;193;0.505839362;0.442609442;0.379379522
2;155.0;192;0.503669567;0.440710871;0.377752175
3;290.4;212;0.555170478;0.485774168;0.416377858
4;279.0;227;0.594057357;0.519800188;0.445543018
5;27.4;236;0.617293998;0.540132248;0.462970498
6;185.6;247;0.646735368;0.565893447;0.485051526
7;96.2;255;0.668888511;0.585277447;0.501666383
8;210.1;265;0.694408437;0.607607383;0.520806328
9;57.7;277;0.726731418;0.635889991;0.545048563
10;304.4;277;0.726432074;0.635628064;1000
11;310.0;197;0.516214975;0.451688103;1000
12;310.0;210;0.549548913;0.480855299;1000
13;445.4;225;0.588247839;0.514716859;1000
14;434.0;232;0.607116844;0.531227238;1000
15;182.4;236;0.617395042;0.540220661;0.463046281
16;340.6;249;0.651840297;0.57036026;1000
17;251.2;256;0.670535805;0.586718829;0.502901854
18;365.1;265;0.69449514;0.607683247;1000
19;212.7;277;0.726833662;0.635979455;0.545125247
20;459.4;278;0.728477228;0.637417574;1000
21;310.0;206;0.539173503;0.471776815;1000
22;445.4;221;0.579064671;0.506681587;1000
23;434.0;230;0.601145234;0.52600208;1000
24;182.4;236;0.617703976;0.540490979;0.463277982
25;340.6;248;0.648688997;0.567602872;1000
26;251.2;257;0.673184223;0.589036195;0.504888167
27;365.1;265;0.694645359;0.607814689;1000
28;212.7;278;0.726906819;0.636043466;0.545180114
29;459.4;278;0.726906456;0.636043149;1000
30;445.4;212;0.555796848;0.486322242;1000
31;434.0;227;0.595464384;0.521031336;1000
32;182.4;242;0.63279721;0.553697559;0.474597907
33;340.6;248;0.650116355;0.568851811;1000
34;251.2;264;0.692147038;0.605628658;0.519110278
35;365.1;269;0.705344519;0.617176454;1000
36;212.7;281;0.736398346;0.644348553;0.552298759
37;459.4;279;0.730672472;0.639338413;1000
38;569.4;230;0.601202193;0.526051919;1000
39;317.7;247;0.64790299;0.566915116;1000
40;475.9;250;0.655596101;0.573646588;1000
41;386.6;270;0.706985109;0.618611971;1000
42;500.5;273;0.714130361;0.624864066;1000
43;348.0;284;0.743742443;0.650774638;1000
44;594.8;281;0.735071777;0.643187805;1000
45;306.4;246;0.643542319;0.563099529;1000
46;464.6;248;0.649054026;0.567922273;1000
47;375.2;268;0.701234145;0.613579877;1000
48;489.1;270;0.706987435;0.618614005;1000
49;336.6;281;0.736790681;0.644691846;1000
50;583.4;278;0.729404252;0.63822872;1000
51;212.9;253;0.661986109;0.579237845;0.496489582
52;123.6;258;0.676890059;0.592278802;0.507667544
53;237.5;265;0.694412307;0.607610769;0.52080923
54;85.0;277;0.72674543;0.635902252;0.545059073
55;331.8;279;0.729786772;0.638563426;1000
56;281.8;271;0.70852969;0.619963479;0.531397267
57;395.7;270;0.706686801;0.618350951;1000
58;243.2;281;0.735025352;0.643147183;0.551269014
59;490.0;278;0.727316531;0.636401964;1000
60;306.3;271;0.708590957;0.620017088;1000
61;153.9;281;0.736027285;0.644023874;0.552020463
62;400.6;286;0.750139581;0.656372134;1000
63;267.8;277;0.726747482;0.635904046;0.545060611
64;514.5;281;0.736049175;0.644043028;1000
65;362.1;285;0.746317434;0.653027755;1000
66;465.0;210;0.549549116;0.480855476;1000
67;600.4;225;0.589440283;1000;1000
68;589.0;233;0.611520847;0.535080741;1000
69;337.4;236;0.61780502;0.540579393;1000
70;495.6;250;0.653793925;0.572069685;1000
71;406.2;258;0.674831516;0.590477577;1000
72;520.1;265;0.694732062;0.607890554;1000
73;367.7;278;0.727009063;0.63613293;1000
74;614.4;278;0.72895161;1000;1000
75;600.4;225;0.588874209;1000;1000
76;589.0;232;0.608523871;0.532458387;1000
